@relation temp-relation

@attribute string/JaroWinkler numeric
@attribute string/MongeElkan numeric
@attribute string/Levenshtein numeric
@attribute string/Jaro numeric
@attribute string/LongestCommonSubsequenceNormComparator numeric
@attribute string/LongestCommonSubstringComparator numeric
@attribute string/LongestCommonSubsequenceComparator numeric
@attribute gold real

@data
0.9191349543523456,0.688695652173913,52.0,0.865224923920576,0.6730769230769231,0.5535055350553506,0.7749077490774907,4.0
0.834187530682376,0.5746031746031746,47.0,0.7236458844706267,0.8412698412698413,0.30000000000000004,0.6625,3.75
0.7761454331576282,0.34505494505494505,56.0,0.7761454331576282,0.6153846153846154,0.2887700534759359,0.5989304812834224,2.8
0.9396194653970292,0.965925925925926,53.0,0.8993657756617154,0.9851851851851852,0.8037383177570093,0.8286604361370716,3.4
0.8218338474630358,0.20980392156862746,63.0,0.703056412438393,0.5523809523809524,0.09661835748792269,0.5507246376811594,2.4
0.6826759051616736,0.23863636363636365,67.0,0.6826759051616736,0.5681818181818182,0.13259668508287292,0.5303867403314917,1.333
0.7399094085707488,0.138255033557047,119.0,0.7399094085707488,0.5234899328859061,0.11038961038961037,0.487012987012987,4.6
0.759997513610636,0.4361904761904762,67.0,0.759997513610636,0.8,0.301255230125523,0.7029288702928871,3.8
0.7375724957816883,0.4198019801980198,48.0,0.7375724957816883,0.6972477064220184,0.2857142857142857,0.7142857142857143,4.2
0.8440717939948413,0.3111111111111111,62.0,0.7401196566580689,0.6106194690265486,0.20814479638009054,0.6244343891402715,2.6
0.7651215176524513,0.25874125874125875,107.0,0.7651215176524513,0.48951048951048953,0.15172413793103445,0.48275862068965514,4.4
0.9277818378907616,0.64625,71.0,0.8796363964846027,0.8,0.49853372434017595,0.750733137829912,4.2
0.8931380620350405,0.5769230769230769,24.0,0.8218967700584009,0.9,0.49242424242424243,0.8863636363636364,5.0
0.7774802411502773,0.41146496815286626,123.0,0.7774802411502773,0.5095541401273885,0.2955974842767296,0.4591194968553459,5.0
0.7260861301183882,0.46774193548387094,57.0,0.7260861301183882,0.4166666666666667,0.4328358208955224,0.4477611940298507,5.0
0.8623168271609638,0.5212765957446809,39.0,0.7705280452682729,0.7553191489361702,0.4949494949494949,0.7171717171717171,3.4
0.6542325850528005,0.45098039215686275,46.0,0.6542325850528005,0.4647887323943662,0.2622950819672131,0.5245901639344263,5.0
0.7320003263674284,0.32040816326530613,55.0,0.7320003263674284,0.6938775510204082,0.26291079812206575,0.6384976525821596,4.0
0.8393402180149169,0.2857142857142857,50.0,0.732233696691528,0.6,0.261437908496732,0.5359477124183006,3.2
0.7755077658303465,0.7444444444444445,46.0,0.7755077658303465,0.7419354838709677,0.53551912568306,0.7431693989071038,5.0
0.745172377741185,0.4326923076923077,57.0,0.745172377741185,0.6730769230769231,0.32863849765258213,0.647887323943662,4.4
0.712374944449864,0.2716417910447761,56.0,0.712374944449864,0.5522388059701493,0.2518518518518519,0.5481481481481482,3.6
0.7414221300063772,0.3205882352941177,39.0,0.7414221300063772,0.6176470588235294,0.2676056338028169,0.5915492957746479,3.6
0.8085320243104255,0.28695652173913044,48.0,0.6808867071840424,0.6129032258064516,0.15135135135135136,0.6054054054054054,0.8
