@relation temp-relation

@attribute esa/ESA_WN numeric
@attribute esa/ESA_WP numeric
@attribute esa/ESA_WK numeric
@attribute gold real

@data
0.7389538213431102,0.900341253520564,0.836469765819626,4.0
0.6151828364942453,0.8562404467880257,0.6529853263606205,3.75
0.6359980138510722,0.8231195807944257,0.7984683094313803,2.8
0.8127304087843998,0.9416135063802186,0.8297618506774357,3.4
0.2561432361726691,0.8328380088651621,0.4500366151350576,2.4
0.7114636490474108,0.7217528698454582,0.5807113605265255,1.333
0.4373968147862071,0.8097916728396418,0.7017926892937355,4.6
0.809285629436941,0.9022235412470857,0.8248297439018596,3.8
0.8649115799747217,0.8833874166225903,0.7697175789093752,4.2
0.7992366223391156,0.8861548450963159,0.7716917118984254,2.6
0.7118930164707522,0.886799903292809,0.6764679353619022,4.4
0.9494840194400705,0.9754282388950151,0.9611830482273247,4.2
0.8136127055204088,0.9524430222149933,0.954433417703217,5.0
0.9999999999999879,0.943036252961779,0.9825592776751586,5.0
0.8680654303095885,0.9556291149389426,0.8508372527799664,5.0
0.6702239318359364,0.8627029629545966,0.807461295667554,3.4
0.6306928873011424,0.8759130709756172,0.7874448472529739,5.0
0.28889737824786343,0.6768710714733973,0.7563456140144601,4.0
0.35578001914776386,0.5639266475902062,0.6350312925363985,3.2
0.921156566970283,0.9136657768647888,0.9183203205482351,5.0
0.5932211429717184,0.7205118166109533,0.7706471642472346,4.4
0.013899028078499876,0.6442214665353632,0.3267467767302358,3.6
0.46553413287417394,0.7280591293244344,0.7095563026007222,3.6
0.7103156609875765,0.8444170082381967,0.7313867377341192,0.8
0.5812456977337762,0.7236595435576649,0.42711403189745445,1.4
0.8486273187755645,0.9045572426908521,0.9497359755891204,3.2
0.6319520714768834,0.8027573929977956,0.8302722934709057,3.8
0.6703642939847703,0.6519395062773026,0.6948788055138513,4.2
0.8402850516326695,0.9624218061925877,0.8996582232454208,3.0
0.6016847243561078,0.763905861905758,0.8058365272828815,3.6
0.674719470856399,0.8570423413963373,0.6750967124596474,3.0
0.24691730651222152,0.8160829850831399,0.4987017124173972,3.0
0.001524435231234978,0.7431055001210605,0.3192040241835106,3.0
0.854246699403511,0.9366721308127611,0.888077122371018,4.8
0.8373644989632736,0.939503218784388,0.7047955219499863,2.5
0.0018083261437978218,0.6326349432313246,0.30409421124426794,2.25
0.3696838348558709,0.7208502376962191,0.5198637113523557,3.5
0.6573099550900614,0.8687942723623576,0.7234416036670074,3.5
0.9999999999999871,0.769736516604592,0.9335579594761043,3.0
0.6724638027034121,0.7852498609018891,0.7072029720380131,3.0
0.8665349572749843,0.7468645649523757,0.7718482288890827,3.667
