@relation temp-relation

@attribute string/JaroWinkler numeric
@attribute string/MongeElkan numeric
@attribute string/Levenshtein numeric
@attribute string/Jaro numeric
@attribute string/LongestCommonSubsequenceNormComparator numeric
@attribute string/GreedyStringTiling_3 numeric
@attribute string/LongestCommonSubstringComparator numeric
@attribute string/LongestCommonSubsequenceComparator numeric
@attribute gold real

@data
0.9191349543523456,0.688695652173913,52.0,0.865224923920576,0.6730769230769231,NaN,0.5535055350553506,0.7749077490774907,0.0
0.834187530682376,0.5746031746031746,47.0,0.7236458844706267,0.8412698412698413,NaN,0.30000000000000004,0.6625,0.0
0.7761454331576282,0.34505494505494505,56.0,0.7761454331576282,0.6153846153846154,NaN,0.2887700534759359,0.5989304812834224,0.0
0.9396194653970292,0.965925925925926,53.0,0.8993657756617154,0.9851851851851852,NaN,0.8037383177570093,0.8286604361370716,0.0
0.8218338474630358,0.20980392156862746,63.0,0.703056412438393,0.5523809523809524,NaN,0.09661835748792269,0.5507246376811594,0.0
0.6826759051616736,0.23863636363636365,67.0,0.6826759051616736,0.5681818181818182,NaN,0.13259668508287292,0.5303867403314917,0.0
0.7399094085707488,0.138255033557047,119.0,0.7399094085707488,0.5234899328859061,NaN,0.11038961038961037,0.487012987012987,0.0
0.759997513610636,0.4361904761904762,67.0,0.759997513610636,0.8,NaN,0.301255230125523,0.7029288702928871,0.0
0.7375724957816883,0.4198019801980198,48.0,0.7375724957816883,0.6972477064220184,NaN,0.2857142857142857,0.7142857142857143,0.0
0.8440717939948413,0.3111111111111111,62.0,0.7401196566580689,0.6106194690265486,NaN,0.20814479638009054,0.6244343891402715,0.0
0.7651215176524513,0.25874125874125875,107.0,0.7651215176524513,0.48951048951048953,NaN,0.15172413793103445,0.48275862068965514,0.0
0.9277818378907616,0.64625,71.0,0.8796363964846027,0.8,NaN,0.49853372434017595,0.750733137829912,0.0
0.8931380620350405,0.5769230769230769,24.0,0.8218967700584009,0.9,NaN,0.49242424242424243,0.8863636363636364,0.0
0.7774802411502773,0.41146496815286626,123.0,0.7774802411502773,0.5095541401273885,NaN,0.2955974842767296,0.4591194968553459,0.0
0.7260861301183882,0.46774193548387094,57.0,0.7260861301183882,0.4166666666666667,NaN,0.4328358208955224,0.4477611940298507,0.0
0.8623168271609638,0.5212765957446809,39.0,0.7705280452682729,0.7553191489361702,NaN,0.4949494949494949,0.7171717171717171,0.0
0.6542325850528005,0.45098039215686275,46.0,0.6542325850528005,0.4647887323943662,NaN,0.2622950819672131,0.5245901639344263,0.0
0.7320003263674284,0.32040816326530613,55.0,0.7320003263674284,0.6938775510204082,NaN,0.26291079812206575,0.6384976525821596,0.0
0.8393402180149169,0.2857142857142857,50.0,0.732233696691528,0.6,NaN,0.261437908496732,0.5359477124183006,0.0
0.7755077658303465,0.7444444444444445,46.0,0.7755077658303465,0.7419354838709677,NaN,0.53551912568306,0.7431693989071038,0.0
0.745172377741185,0.4326923076923077,57.0,0.745172377741185,0.6730769230769231,NaN,0.32863849765258213,0.647887323943662,0.0
0.712374944449864,0.2716417910447761,56.0,0.712374944449864,0.5522388059701493,NaN,0.2518518518518519,0.5481481481481482,0.0
0.7414221300063772,0.3205882352941177,39.0,0.7414221300063772,0.6176470588235294,NaN,0.2676056338028169,0.5915492957746479,0.0
0.8085320243104255,0.28695652173913044,48.0,0.6808867071840424,0.6129032258064516,NaN,0.15135135135135136,0.6054054054054054,0.0
0.6398046398046398,0.46122448979591835,43.0,0.6398046398046398,0.47435897435897434,NaN,0.17322834645669294,0.5826771653543308,0.0
0.7809214257223717,0.4661764705882353,34.0,0.7809214257223717,0.9705882352941176,NaN,0.4147157190635451,0.8762541806020067,0.0
0.8624676104676106,0.3945945945945946,80.0,0.7707793507793509,0.8918918918918919,NaN,0.29370629370629375,0.6923076923076923,0.0
0.7393351972662319,0.4486486486486487,87.0,0.7103724414069242,0.5689655172413793,NaN,0.3083700440528634,0.5814977973568283,0.0
0.9443405568038999,0.7355371900826446,25.0,0.9072342613398332,0.8677685950413223,NaN,0.40816326530612246,0.8571428571428572,0.0
0.8219400352733686,0.6666666666666666,88.0,0.703233392122281,0.5432098765432098,NaN,0.46441947565543074,0.6217228464419475,0.0
0.7396846846846846,0.5625,57.0,0.7396846846846846,0.7375,NaN,0.25555555555555554,0.6555555555555556,0.0
0.7241386735572783,0.48604651162790696,59.0,0.7241386735572783,0.5583333333333333,NaN,0.24271844660194175,0.6504854368932038,0.0
0.7450333921482386,0.32427184466019415,66.0,0.7450333921482386,0.5327868852459017,NaN,0.24888888888888894,0.5777777777777777,0.0
0.7917875898286346,0.47761194029850745,103.0,0.7917875898286346,0.4930555555555556,NaN,0.2517985611510791,0.5035971223021583,0.0
0.8082504582038409,0.6651685393258427,73.0,0.6804174303397348,0.8426966292134831,NaN,0.30434782608695654,0.6521739130434783,0.0
0.0,0.23636363636363636,45.0,0.0,0.6181818181818182,NaN,0.19047619047619047,0.5396825396825398,0.0
0.8512710860812127,0.3189873417721519,51.0,0.7521184768020212,0.7848101265822784,NaN,0.20765027322404372,0.6775956284153005,0.0
0.6863095238095238,0.46785714285714286,53.0,0.6863095238095238,0.6607142857142857,NaN,0.27941176470588236,0.5294117647058824,0.0
0.7328256302521008,0.7657142857142857,48.0,0.7328256302521008,0.7571428571428571,NaN,0.6709677419354838,0.6838709677419355,0.0
0.7151442132165023,0.3060240963855422,75.0,0.7151442132165023,0.6506024096385542,NaN,0.1968911917098446,0.5492227979274611,0.0
0.83344206318361,0.7,38.0,0.7224034386393501,0.7903225806451613,NaN,0.2896551724137931,0.6620689655172414,0.0
0.6632520325203252,0.24,92.0,0.6632520325203252,0.4146341463414634,NaN,0.17840375586854462,0.4694835680751174,0.0
0.7335813492063492,0.6328571428571429,105.0,0.7335813492063492,0.7571428571428571,NaN,0.3975903614457831,0.6385542168674698,0.0
0.8568449128285195,0.32142857142857145,83.0,0.7614081880475324,0.6357142857142857,NaN,0.14084507042253525,0.619718309859155,0.0
0.81763122666103,0.6578313253012048,40.0,0.7394731809443287,0.6571428571428571,NaN,0.3191489361702128,0.7340425531914894,0.0
0.7490175504676836,0.25321100917431194,84.0,0.7490175504676836,0.5454545454545454,NaN,0.136986301369863,0.5388127853881279,0.0
0.934531522117729,0.9797979797979798,47.0,0.890885870196215,0.6758620689655173,NaN,0.7950819672131147,0.8032786885245902,0.0
0.8606158862356403,0.45321100917431195,61.0,0.7676931437260671,0.7522935779816514,NaN,0.392,0.648,0.0
0.7713969404186796,0.7565217391304347,83.0,0.7713969404186796,0.6111111111111112,NaN,0.6718146718146718,0.6795366795366795,0.0
0.9071278204533347,0.6110429447852761,34.0,0.8452130340888911,0.8392857142857143,NaN,0.35649546827794565,0.851963746223565,0.0
0.4,0.3022222222222222,72.0,0.0,0.5495495495495496,NaN,0.20895522388059706,0.6069651741293532,0.0
0.9208085492489163,0.37777777777777777,27.0,0.8680142487481938,0.8888888888888888,NaN,0.2304526748971193,0.8559670781893004,0.0
